area,occ_code,tot_emp,emp_prse,jobs_1000,loc_quotient,h_mean,a_mean,mean_prse,h_pct25,h_median,h_pct75,a_pct25,a_median,a_pct75
1,00-0000,2053090.0,0.0,1000.0,1.0,25.67,53400.0,0.2,14.22,19.88,30.09,29580.0,41350.0,62580.0
2,00-0000,311610.0,0.0,1000.0,1.0,33.6,69880.0,0.3,18.62,26.99,40.52,38720.0,56140.0,84280.0
4,00-0000,3129720.0,0.0,1000.0,1.0,30.31,63040.0,0.5,17.38,22.92,35.05,36150.0,47680.0,72900.0
5,00-0000,1271320.0,0.0,1000.0,1.0,24.64,51250.0,0.2,14.42,18.78,28.32,30000.0,39060.0,58900.0
6,00-0000,17945910.0,0.0,1000.0,1.0,37.0,76960.0,0.4,18.21,25.98,44.83,37890.0,54030.0,93250.0
8,00-0000,2832010.0,0.0,1000.0,1.0,34.6,71960.0,0.3,18.67,25.98,40.22,38830.0,54050.0,83660.0
9,00-0000,1660330.0,0.0,1000.0,1.0,35.45,73740.0,0.4,18.18,26.98,41.7,37820.0,56130.0,86740.0
10,00-0000,469280.0,0.0,1000.0,1.0,31.73,65990.0,0.4,16.93,23.69,38.15,35220.0,49280.0,79350.0
11,00-0000,701840.0,0.0,1000.0,1.0,51.07,106230.0,0.5,24.61,40.6,65.15,51180.0,84450.0,135510.0
12,00-0000,9568260.0,0.0,1000.0,1.0,28.95,60210.0,0.2,16.22,21.67,32.5,33730.0,45070.0,67600.0
13,00-0000,4757900.0,0.0,1000.0,1.0,29.45,61250.0,0.6,15.66,21.86,34.92,32580.0,45480.0,72620.0
15,00-0000,616980.0,0.0,1000.0,1.0,31.27,65030.0,0.7,17.65,24.28,36.86,36700.0,50510.0,76670.0
16,00-0000,822690.0,0.0,1000.0,1.0,26.75,55640.0,0.4,16.19,21.27,30.26,33680.0,44240.0,62930.0
17,00-0000,6011660.0,0.0,1000.0,1.0,32.27,67130.0,0.6,17.49,23.43,38.19,36380.0,48730.0,79430.0
18,00-0000,3156740.0,0.0,1000.0,1.0,27.12,56420.0,0.4,16.49,21.86,30.94,34290.0,45470.0,64350.0
19,00-0000,1544760.0,0.0,1000.0,1.0,27.12,56400.0,0.2,16.81,22.34,31.01,34960.0,46460.0,64490.0
20,00-0000,1412000.0,0.0,1000.0,1.0,27.05,56270.0,0.3,16.0,21.76,31.09,33280.0,45250.0,64670.0
21,00-0000,1963060.0,0.0,1000.0,1.0,25.97,54030.0,0.3,15.19,21.02,29.84,31600.0,43730.0,62060.0
22,00-0000,1851860.0,0.0,1000.0,1.0,25.69,53440.0,0.3,13.89,19.87,30.23,28900.0,41320.0,62880.0
23,00-0000,621750.0,0.0,1000.0,1.0,28.85,60000.0,0.7,17.86,22.88,32.33,37150.0,47590.0,67250.0
